index,timestamp,activity_event_action,scene_background_context,behavioural_nudge_device_or_moral_suasion
0,00:00,Woman looks at phone next to motorcycle.,Indoor parking area with a motorcycle.,"Checking phone for possibly GPS or messages, reminding of planning/safety before riding."
1,00:05,"Woman puts on helmet, preparing to ride.","Same parking spot, motorcycle prep.",Wearing a helmet as safety compliance.
2,00:10,Close-up of motorcycle engine.,Focus on motorcycle brand in parking.,"Highlighting motorcycle brand, implying performance."
3,00:15,Two people riding motorcycles at intersection.,Urban road with palm trees at an intersection.,"Following traffic signals, indicating road safety."
4,00:20,Riders at traffic light.,Close-up on both riders at a red light.,"Adhering to traffic rules, encouraging safety."
5,00:25,Rider looks to the side.,Rider focuses attention on surroundings.,"Attentiveness to surroundings, advocating awareness."
6,00:30,Man puts on jacket in garage.,A cluttered garage full of tools.,"Wearing protective attire, emphasizing safety."
7,00:35,Man sits on motorcycle in garage.,Indoor garage with a retro motorcycle.,"Preparation before riding, suggesting readiness."
8,00:40,Close-up of motorcycle kickstand.,Foot and motorcycle kickstand in garage.,"Using kickstand safely, ensuring stability."
9,00:45,Man riding bike on coastal road.,Wide coastal road and clear sky.,"Scenic journey, inspiring freedom of travel."
10,00:50,Continuing ride along coastline.,Continuing along coastline with fields.,"Experience of coastal ride, promoting adventure."
11,00:55,Third person mounting motorcycle.,"Residential area, mounting a bike.","Safety preparation, endorsing protective gear use."
12,01:00,Fixing helmet strap.,"House exterior, prepping helmet.",Adjusting gear properly before riding.
13,01:05,Riding motorcycle in urban area.,Urban road with cityscape backdrop.,"Smooth urban ride, promoting efficient city travel."
14,01:10,Riding through urban landscapes.,Buildings and bridges in the background.,"Showing variety in landscapes, encouraging exploration."
15,01:15,Arriving at meetup with friends.,Outdoor café and meetup with others.,"Community gathering, promoting camaraderie."
16,01:20,Removing helmet and greeting friends.,Social gathering near parked bikes.,"Engagement with friends, reinforcing social connection."
17,01:25,Group gathered with various motorcycles.,Scenic seaside viewpoint with group.,"Group interaction, highlighting shared passion."
18,01:30,Conclusion with brand message.,Brand promotion among diverse riders.,"Unity and diversity in motorcycling, advocating brand loyalty."
